source,target
1440956484309897216,807554782441472000
1440956484309897216,8112142
1440956484309897216,818419392115593216
1440956484309897216,81873003
1440956484309897216,824776194444898304
1440956484309897216,8252202
1440956484309897216,829392356
1440956484309897216,829786231655514112
1440956484309897216,831699708
1440956484309897216,834539762790891520
1440956484309897216,836716681179213824
1440956484309897216,839338759330152448
1440956484309897216,839573398762188800
1440956484309897216,84563913
1440956484309897216,846014785246367744
1440956484309897216,848085657054478336
1440956484309897216,849737390
1440956484309897216,85007665
1440956484309897216,85509895
1440956484309897216,856308360660103168
1440956484309897216,859870908927946752
1440956484309897216,85990962
1440956484309897216,860091357100216320
1440956484309897216,869477380942958592
1440956484309897216,872404093075152896
1440956484309897216,873950011909963776
1440956484309897216,87629909
1440956484309897216,886172705837297664
1440956484309897216,88728935
1440956484309897216,887614060942020608
1440956484309897216,890913057085501440
1440956484309897216,892569055965708288
1440956484309897216,893196218
1440956484309897216,899230542780022784
1440956484309897216,900822331
1440956484309897216,90536131
1440956484309897216,908271475718868992
1440956484309897216,909309771617931264
1440956484309897216,913182800022577152
1440956484309897216,916599353355186176
1440956484309897216,91745042
1440956484309897216,92118984
1440956484309897216,922412869815283712
1440956484309897216,928359193
1440956484309897216,928702690149978112
1440956484309897216,928763222
1440956484309897216,92901894
1440956484309897216,9304922
1440956484309897216,932662123460792320
1440956484309897216,93417622
1440956484309897216,941255822834847744
1440956484309897216,958366320415989760
1440956484309897216,960244413753626624
1440956484309897216,961534720898191360
1440956484309897216,962795401
1440956484309897216,966137557
1440956484309897216,967487209535361024
1440956484309897216,971687269747871744
1440956484309897216,974706984007225344
1440956484309897216,976730168772481024
1440956484309897216,986985098208796672
1440956484309897216,989259202098016256
1440956484309897216,99480370
1440956484309897216,995742497178554368
1440956484309897216,996110136212164608
